id,answer
0,2020-03-15 12:14:45
1,2020-03-16 11:04:00
2,2020-03-16 11:35:36
3,2020-03-16 10:43:49
4,2020-03-16 10:44:41
5,2020-03-16 10:58:48
6,2020-03-16 11:30:17
7,2020-03-16 11:01:22
8,2020-03-16 11:04:44
9,2020-03-16 11:04:45
10,2020-03-16 11:04:49
11,2020-03-16 11:30:02
12,2020-03-16 11:16:49
13,2020-03-16 10:41:20
14,2020-03-16 11:30:10
15,2020-03-16 10:41:20
16,2020-03-16 10:27:45
17,2020-03-16 11:19:36
18,2020-03-16 11:19:38
19,2020-03-16 10:48:32
20,2020-03-16 11:19:38
21,2020-03-16 10:36:57
22,2020-03-16 11:01:22
23,2020-03-16 11:04:00
24,2020-03-16 11:30:17
25,2020-03-16 10:41:20
26,2020-03-16 11:30:10
27,2020-03-16 10:41:20
28,2020-03-16 11:01:39
29,2020-03-16 09:54:47
30,本科
31,本科
32,本科
33,本科
34,本科
35,本科
36,本科
37,本科
38,本科
39,本科
40,本科
41,本科
42,本科
43,本科
44,本科
45,本科
46,本科
47,本科
48,本科
49,本科
50,本科
51,本科
52,本科
53,本科
54,本科
55,本科
56,本科
57,本科
58,本科
59,硕士
60,25k-35k
61,25k-35k
62,25k-35k
63,25k-35k
64,25k-35k
65,20k-40k
66,20k-40k
67,30k-40k
68,20k-40k
69,20k-40k
70,20k-40k
71,20k-40k
72,20k-40k
73,30k-40k
74,25k-40k
75,30k-40k
76,20k-40k
77,20k-40k
78,20k-40k
79,20k-40k
80,20k-40k
81,25k-50k
82,30k-40k
83,30k-50k
84,30k-60k
85,30k-40k
86,25k-40k
87,30k-40k
88,30k-45k
89,25k-50k
